dataset_id,name,institution,role
French_2017,Aine Nicholson,University of Tasmania,assistant
Funk_2016,Jennifer Funk,"Schmid College of Science and Technology, Chapman University","collector, lab_leader"
Funk_2016,Rachel Standish,"School of Veterinary and Life Sciences, Murdoch University","collector, lab_leader, contact"
Gallagher_2011_1,Jan Suda,Academy of Science Czech Republic,collector
Gallagher_2011_1,Michelle Leishman,Macquarie University Sydney,lab_leader
Gallagher_2011_1,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Gallagher_2011_3,Ian Davidson,unknown,collector
Gallagher_2011_3,Michelle Leishman,Macquarie University Sydney,"lab_leader, contact"
Gallagher_2011_3,Rachael Gallagher,Macquarie University Sydney,contributor
Gallagher_2012,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Gallagher_2012,Michelle Leishman,Macquarie University Sydney,lab_leader
Gallagher_2015,Rachael Gallagher,Macquarie University Sydney,"collector, contact"
Gallagher_2015,Robert Lanfear,Australian National University,collector
Gallagher_2018,Rachael Gallagher,"Department of Biological Sciences, Macquarie University","collector, contributor, contact"
Gallagher_2018,Bree-Anne Laugier-Kitchener,"Department of Biological Sciences, Macquarie University",collector
Gallagher_2018,Hannah MacPherson,"National Herbarium of NSW, Royal Botanic Gardens and Domain Trust",collector
Gallagher_2018,Maurizio Rossetto,"National Herbarium of NSW, Royal Botanic Gardens and Domain Trust",collector
Gallagher_2018,Marlien van der Merwe,"National Herbarium of NSW, Royal Botanic Gardens and Domain Trust",collector
Gallagher_2018,Ian Wright,"Department of Biological Sciences, Macquarie University",collector
Gallagher_2018,Matthew Alfonzetti,"Department of Biological Sciences, Macquarie University",collector
Gallagher_2018,Aaron Phillips,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Claire Laws,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Dana Lanceman,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Daniel Montoya Londono,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Elissa McFarlane,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,John Foster,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Karen Marais,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Loren Pollitt,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Luka Kovac,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Martin Lambert,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Sophia Amini,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Tara Boreham,"Department of Biological Sciences, Macquarie University",assistant
Gallagher_2018,Thomas Pyne,"Department of Biological Sciences, Macquarie University",assistant
Gardiner_2019,John M. Dwyer,University of Queensland,"contact, lab_leader"
Gardiner_2019,Ronald Gardiner,University of Queensland,collector
Gardiner_2019,Luke Shoo,University of Queensland,assistant
Geange_2017,Sonya Geange,Australian National University,"collector, contact"
Geange_2017,Adrienne Nicotra,Australian National University,lab_leader
Geange_2020,Sonya Geange,Australian National University,"collector, contact"
Geange_2020,Adrienne Nicotra,Australian National University,lab_leader
Ghannoum_2010,Oula Ghannoum,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Ghannoum_2010,David Tissue,"Hawkesbury Institute for the Environment, Western Sydney University","collector, lab_leader, contact"
Ghannoum_2010,Renee Smith,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Goble_1981,Ethel Goble-Garratt,Unknown,collector
Goble_1981,Ian Wright,Macquarie University Sydney,"contributor, contact"
Gosper_2004,Carl Gosper,"Department of Biodiversity, Conservation and Attractions, Western Australia","contact, collector"
Gosper_2012,Carl Gosper,"Department of Biodiversity, Conservation and Attractions, Western Australia","contact, collector"
Gosper_2012,Suzanne Prober,CSIRO Land and Water,collector
Gosper_2012,Colin Yates,"Department of Biodiversity, Conservation and Attractions, Western Australia",collector
Gosper_2018,Carl Gosper,"Department of Biodiversity, Conservation and Attractions, Western Australia","contact, collector"
Gosper_2018,Suzanne Prober,CSIRO Land and Water,collector
Gosper_2018,Colin Yates,"Department of Biodiversity, Conservation and Attractions, Western Australia",collector
GrassBase_2014,Derek Clayton,Kew Botanic Gardens,"collector, contact"
GrassBase_2014,Rachael Gallagher,Macquarie University Sydney,contributor
GrassBase_2014,Maria Vorontsova,Kew Botanic Gardens,"lab_leader, collector"
Gray_2019,Emma Gray,Macquarie University Sydney,collector
Gray_2019,Ian Wright,Macquarie University Sydney,"lab_leader, contributor, contact"
Groom_1997,Philip K Groom,Curtin University,collector
Groom_1997,Byron Lamont,Curtin University,"collector, contact"
Groom_2010,Philip K Groom,Curtin University,"contributor, collector"
Groom_2010,Byron Lamont,Curtin University,"collector, contact, lab_leader"
Grootemaat_2015,Saskia Grootemaat,University of New South Wales,"collector, contact"
Grootemaat_2015,William Cornwell,Macquarie University,collector
Grootemaat_2015,Ian Wright,Macquarie University,lab_leader
Grootemaat_2017_1,Saskia Grootemaat,University of New South Wales,"collector, contact"
Grootemaat_2017_1,Ian Wright,Macquarie University,lab_leader
Grootemaat_2017_1,Veronica Shaw,Macquarie University,assistant
Grootemaat_2017_2,Saskia Grootemaat,University of New South Wales,"collector, contact"
Grootemaat_2017_2,Ian Wright,Macquarie University,lab_leader
Gross_1993,Caroline Gross,University of New England,"collector, lab_leader"
Gross_1993,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Gross_2005,Caroline Gross,University of New England,"collector, contact"
Grubb_1996,Daniel Metcalfe,CSIRO,collector
Grubb_1996,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
